Contingency ID,Fault name,Type,Operating point
1l,L1011-1013a,line,
2l,L1011-1013b,line,
3l,L1012-1014a,line,
4l,L1012-1014b,line,
5l,L1013-1014a,line,
6l,L1013-1014b,line,
7l,L1021-1022a,line,
8l,L1021-1022b,line,
9l,L1041-1043a,line,
10l,L1041-1043b,line,
11l,L1041-1045a,line,
12l,L1041-1045b,line,
13l,L1042-1044a,line,
14l,L1042-1044b,line,
15l,L1042-1045,line,
16l,L1043-1044a,line,
17l,L1043-1044b,line,
18l,L2031-2032a,line,
19l,L2031-2032b,line,
20l,L4011-4012,line,
21l,L4011-4021,line,
22l,L4011-4022,line,
23l,L4011-4071,line,
24l,L4012-4022,line,
25l,L4012-4071,line,
26l,L4021-4032,line,
27l,L4021-4042,line,
28l,L4022-4031a,line,
29l,L4022-4031b,line,
30l,L4031-4032,line,
31l,L4031-4041a,line,
32l,L4031-4041b,line,
33l,L4032-4042,line,
34l,L4032-4044,line,
35l,L4041-4044,line,
36l,L4041-4061,line,
37l,L4042-4043,line,
38l,L4042-4044,line,
39l,L4043-4044,line,
40l,L4043-4046,line,
41l,L4043-4047,line,
42l,L4044-4045a,line,
43l,L4044-4045b,line,
44l,L4045-4051a,line,
45l,L4045-4051b,line,
46l,L4045-4062,line,
47l,L4046-4047,line,
48l,L4061-4062,line,
49l,L4062-4063a,line,
50l,L4062-4063b,line,
51l,L4071-4072a,line,
52l,L4071-4072b,line,
1b,1011_131,bus,
2b,1012_131,bus,
3b,1013_131,bus,
4b,1014_131,bus,
5b,1021_131,bus,
6b,1022_131,bus,
7b,1041_131,bus,
8b,1042_131,bus,
9b,1043_131,bus,
10b,1044_131,bus,
11b,1045_131,bus,
12b,2031_221,bus,
13b,2032_221,bus,
14b,4011_401,bus,
15b,4012_401,bus,
16b,4021_401,bus,
17b,4022_401,bus,
18b,4031_401,bus,
19b,4032_401,bus,
20b,4041_401,bus,
21b,4042_401,bus,
22b,4043_401,bus,
23b,4044_401,bus,
24b,4045_401,bus,
25b,4046_401,bus,
26b,4047_401,bus,
27b,4051_401,bus,
28b,4061_401,bus,
29b,4062_401,bus,
30b,4063_401,bus,
31b,4071_401,bus,
32b,4072_401,bus,
33b,B01___21,bus,
34b,B02___21,bus,
35b,B03___21,bus,
36b,B04___21,bus,
37b,B05___21,bus,
38b,B11___21,bus,
39b,B12___21,bus,
40b,B13___21,bus,
41b,B22___21,bus,
42b,B31___21,bus,
43b,B32___21,bus,
44b,B41___21,bus,
45b,B42___21,bus,
46b,B43___21,bus,
47b,B46___21,bus,
48b,B47___21,bus,
49b,B51___21,bus,
50b,B61___21,bus,
51b,B62___21,bus,
52b,B63___21,bus,
53b,B71___21,bus,
54b,B72___21,bus,
55b,BG01__11,bus,
56b,BG02__11,bus,
57b,BG03__11,bus,
58b,BG04__11,bus,
59b,BG05__11,bus,
60b,BG06__11,bus,
61b,BG07__11,bus,
62b,BG08__11,bus,
63b,BG09__11,bus,
64b,BG10__11,bus,
65b,BG11__11,bus,
66b,BG12__11,bus,
67b,BG13__11,bus,
68b,BG14__11,bus,
69b,BG15__11,bus,
70b,BG16__11,bus,
71b,BG17__11,bus,
72b,BG18__11,bus,
73b,BG19__11,bus,
74b,BG20__11,bus,
1g,g01,generator,
2g,g02,generator,
3g,g03,generator,
4g,g04,generator,
5g,g05,generator,
6g,g06,generator,
7g,g07,generator,
8g,g08,generator,
9g,g09,generator,
10g,g10,generator,
11g,g11,generator,
12g,g12,generator,
13g,g13,generator,
14g,g14,generator,
15g,g15,generator,
16g,g16,generator,
17g,g17,generator,
18g,g18,generator,
19g,g19,generator,
20g,g20,generator,
1lo,01_1,load,
2lo,02_1,load,
3lo,03_1,load,
4lo,04_1,load,
5lo,05_1,load,
6lo,11_1,load,
7lo,12_1,load,
8lo,13_1,load,
9lo,22_1,load,
10lo,31_1,load,
11lo,32_1,load,
12lo,41_1,load,
13lo,42_1,load,
14lo,43_1,load,
15lo,46_1,load,
16lo,47_1,load,
17lo,51_1,load,
18lo,61_1,load,
19lo,62_1,load,
20lo,63_1,load,
21lo,71_1,load,
22lo,72_1,load,
1t,Tr1-1041,transformer,
2t,Tr1011-4011,transformer,
3t,Tr1012-4012,transformer,
4t,Tr1012-g1,transformer,
5t,Tr1013-g2,transformer,
6t,Tr1014-g3,transformer,
7t,Tr1021-g4,transformer,
8t,Tr1022-4022,transformer,
9t,Tr1022-g5,transformer,
10t,Tr1042-g6,transformer,
11t,Tr1043-g7,transformer,
12t,Tr1044-4044a,transformer,
13t,Tr1044-4044b,transformer,
14t,Tr1045-4045a,transformer,
15t,Tr1045-4045b,transformer,
16t,Tr11-1011,transformer,
17t,Tr12-1012,transformer,
18t,Tr13-1013,transformer,
19t,Tr2-1042,transformer,
20t,Tr2031-4031,transformer,
21t,Tr2032-g8,transformer,
22t,Tr22-1022,transformer,
23t,Tr3-1043,transformer,
24t,Tr31-2031,transformer,
25t,Tr32-2032,transformer,
26t,Tr4-1044,transformer,
27t,Tr4011-g9,transformer,
28t,Tr4012-g10,transformer,
29t,Tr4021-g11,transformer,
30t,Tr4031-g12,transformer,
31t,Tr4041-g13,transformer,
32t,Tr4042-g14,transformer,
33t,Tr4047-g15,transformer,
34t,Tr4051-g16,transformer,
35t,Tr4061-g17,transformer,
36t,Tr4063-g18,transformer,
37t,Tr4071-g19,transformer,
38t,Tr4072-g20,transformer,
39t,Tr41-4041,transformer,
40t,Tr42-4042,transformer,
41t,Tr43-4043,transformer,
42t,Tr46-4046,transformer,
43t,Tr47-4047,transformer,
44t,Tr5-1045,transformer,
45t,Tr51-4051,transformer,
46t,Tr61-4061,transformer,
47t,Tr62-4062,transformer,
48t,Tr63-4063,transformer,
49t,Tr71-4071,transformer,
50t,Tr72-4072,transformer,
